job_id,company_id,company_name,title,location,work_type,experience_level,posting_date,views,applies,workplace_model,Role_Category,Annualized_Salary
3894889949,1703.0,Comcast,Field Data Science Specialist,"Atlanta, GA",FULL_TIME,Mid-Senior level,1712856360000.0,3.0,,On-site / Hybrid,Data Science,
3894890217,4680.0,CVS Health,ServiceNow Security & Data Protection Engineer,"Woonsocket, RI",FULL_TIME,Mid-Senior level,1712856275000.0,8.0,,On-site / Hybrid,Data Engineering,185786.0
3894890392,77114.0,"r2 Technologies, Inc.",Data Architect (P&C Insurance),United States,FULL_TIME,Mid-Senior level,1712855988000.0,2.0,,On-site / Hybrid,Data Engineering,
3894897642,19101288.0,InfoStride,Database Engineer(Aurora),United States,CONTRACT,Mid-Senior level,1712857266000.0,4.0,1.0,On-site / Hybrid,Data Engineering,
3894899216,16690.0,Compunnel Inc.,GCP Data Architect,"Columbus, OH",CONTRACT,,1712856971000.0,3.0,,On-site / Hybrid,Data Engineering,
3894899896,35259.0,OtterBase,Lead Data Engineer,"Nashville, TN",FULL_TIME,Mid-Senior level,1712857420000.0,2.0,,On-site / Hybrid,Data Engineering,167500.0
3894900550,16690.0,Compunnel Inc.,GCP Data Architect,"Columbus, Ohio Metropolitan Area",CONTRACT,Mid-Senior level,1712857487000.0,3.0,,On-site / Hybrid,Data Engineering,140400.0
3894903014,750072.0,E-Solutions,Data Scientist,"California, United States",CONTRACT,Mid-Senior level,1712857325000.0,7.0,1.0,On-site / Hybrid,Data Science,
3894903455,72593.0,Bayforce,"Exciting Opportunity: Global Analytics, BI Manager (Contract-to-Hire)","Wisconsin, United States",CONTRACT,Mid-Senior level,1712857578000.0,9.0,,On-site / Hybrid,Data Analytics,
3894904791,1098458.0,Sigma Resources LLC,Data Engineer,"Harrisburg, PA",FULL_TIME,Mid-Senior level,1712857792000.0,6.0,2.0,On-site / Hybrid,Data Engineering,
3894913634,165602.0,"Pyramid Consulting, Inc",Data Center / System Engineer (Nutanix),"Atlanta, GA",CONTRACT,,1712858092000.0,3.0,,On-site / Hybrid,Data Engineering,145600.0
3894917552,10663129.0,Ingenium Talent,Lead Business Intelligence Developer,"Louisville, KY",FULL_TIME,Mid-Senior level,1712858203000.0,2.0,,On-site / Hybrid,Data Analytics,
3894919562,8868.0,The Rockefeller University,Machine Learning Engineer,New York City Metropolitan Area,FULL_TIME,,1712858266000.0,5.0,1.0,On-site / Hybrid,Data Science,100000.0
3894922201,2045626.0,Prodware Solutions,Databricks Architect,United States,FULL_TIME,Mid-Senior level,1712858537000.0,2.0,,On-site / Hybrid,Data Engineering,
3894923365,30960415.0,Intellibus,Lead ML Ops Engineer,"Maryland, United States",FULL_TIME,,1712858607000.0,6.0,1.0,On-site / Hybrid,Data Science,
3894931716,72593.0,Bayforce,Global Analytics & BI Manager,"Milwaukee, WI",FULL_TIME,Mid-Senior level,1712859109000.0,2.0,,On-site / Hybrid,Data Analytics,
3894946919,1900.0,McKesson,Senior Director – Enterprise Data Engineering,"Illinois, United States",FULL_TIME,Director,1712859932000.0,3.0,,On-site / Hybrid,Data Engineering,254900.0
